COD_MUNICIPIO,MUNICIPIO,DEPARTAMENTO,AÑO,TIPO_DELITO,CANTIDAD,LONGITUD,LATITUD,CASOS_AÑO_ANT,CASOS_2_AÑOS_ANT,PROM_3_AÑOS,TENDENCIA_PCT,AÑOS_HISTORIAL,TOTAL_MUNICIPIO,PROP_TIPO_DELITO,RIESGO_TARGET
68092,Betulia,SANTANDER,2015,DELITO_SEXUAL,2,"-73,283669","6,899525",3.0,2.0,2.3333333333333335,-33.333333333333336,5,4,50.0,1
68190,Cimitarra,SANTANDER,2015,DELITO_SEXUAL,32,"-73,953011","6,320886",20.0,19.0,23.666666666666668,60.00000000000001,6,109,29.36,2
68320,Guadalupe,SANTANDER,2015,DELITO_SEXUAL,5,"-73,419292","6,245847",3.0,5.0,4.333333333333333,66.66666666666667,6,17,29.41,2
68755,Socorro,SANTANDER,2015,DELITO_SEXUAL,18,"-73,261198","6,46387",21.0,18.0,19.0,-14.28571428571429,6,72,25.0,2
68861,Vélez,SANTANDER,2015,DELITO_SEXUAL,12,"-73,672447","6,009275",13.0,15.0,13.333333333333334,-7.692307692307687,6,35,34.29,2
68322,Guapotá,SANTANDER,2015,DELITO_SEXUAL,1,"-73,320732","6,308635",1.0,1.0,1.0,0.0,5,3,33.33,0
68324,Guavatá,SANTANDER,2015,DELITO_SEXUAL,2,"-73,700906","5,954348",1.0,3.0,2.0,100.0,5,2,100.0,1
68549,Pinchote,SANTANDER,2015,DELITO_SEXUAL,2,"-73,174209","6,531552",1.0,2.0,1.6666666666666667,100.0,6,8,25.0,1
68615,Rionegro,SANTANDER,2015,DELITO_SEXUAL,10,"-73,150177","7,265014",11.0,9.0,10.0,-9.090909090909093,6,35,28.57,2
68211,Contratación,SANTANDER,2015,DELITO_SEXUAL,2,"-73,474426","6,290561",2.0,2.0,2.0,0.0,6,13,15.38,1
68179,Chipatá,SANTANDER,2015,DELITO_SEXUAL,1,"-73,637111","6,062521",1.0,2.0,1.3333333333333333,0.0,4,2,50.0,0
68820,Tona,SANTANDER,2015,DELITO_SEXUAL,3,"-72,967023","7,201417",2.0,2.0,2.3333333333333335,50.0,5,5,60.0,1
68190003,Cimitarra,SANTANDER,2015,DELITO_SEXUAL,1,,,1.0,18.0,1.0,0.0,2,1,100.0,0
68522,Palmar,SANTANDER,2015,DELITO_SEXUAL,2,"-73,29109","6,537789",1.0,4.0,2.3333333333333335,100.0,5,6,33.33,1
68773,Sucre,SANTANDER,2015,DELITO_SEXUAL,4,"-73,790975","5,918743",2.0,1.0,2.3333333333333335,100.0,5,8,50.0,1
68689,San Vicente de Chucurí,SANTANDER,2015,DELITO_SEXUAL,19,"-73,411024","6,880383",25.0,12.0,18.666666666666668,-24.0,6,73,26.03,2
68500,Oiba,SANTANDER,2015,DELITO_SEXUAL,5,"-73,299791","6,26521",6.0,9.0,6.666666666666667,-16.666666666666664,6,17,29.41,2
68689012,San Vicente de Chucurí,SANTANDER,2015,DELITO_SEXUAL,1,,,2.0,2.0,1.6666666666666667,-50.0,4,6,16.67,0
68547,Piedecuesta,SANTANDER,2015,DELITO_SEXUAL,94,"-73,054795","6,997245",77.0,96.0,89.0,22.077922077922075,6,749,12.55,2
68533,Páramo,SANTANDER,2015,DELITO_SEXUAL,3,"-73,17022","6,416811",4.0,2.0,3.0,-25.0,5,5,60.0,1
